Date,BONDS,COMMODITIES,STOCKS,VOLATILITY
2006-02-06,58.71814727783203,21.916013717651367,45.46845245361328,13.039999961853027
2006-02-07,58.677162170410156,21.282079696655273,45.02574157714844,13.59000015258789
2006-02-08,58.647850036621094,21.191516876220703,45.34968185424805,12.829999923706055
2006-02-09,58.68300247192383,21.39075469970703,45.26329040527344,13.119999885559082
2006-02-10,58.55991744995117,21.0013370513916,45.35686492919922,12.869999885559082
2006-02-13,58.6009521484375,20.67531394958496,45.1517219543457,13.350000381469727
2006-02-14,58.50721740722656,20.503244400024414,45.580020904541016,12.25
2006-02-15,58.57167053222656,20.204391479492188,45.75278854370117,12.3100004196167
2006-02-16,58.51310348510742,20.448909759521484,46.109092712402344,11.479999542236328
2006-02-17,58.75336456298828,20.738706588745117,46.05510711669922,12.010000228881836
2006-02-21,58.53654098510742,21.082843780517578,45.9255485534668,12.40999984741211
2006-02-22,58.770904541015625,20.738706588745117,46.285457611083984,11.880000114440918
2006-02-23,58.735774993896484,20.666255950927734,46.1702995300293,11.869999885559082
2006-02-24,58.78264236450195,21.22774314880371,46.24226760864258,11.460000038146973
2006-02-27,58.65960693359375,20.811155319213867,46.375450134277344,11.59000015258789
2006-02-28,58.78264236450195,21.09189796447754,45.918357849121094,12.34000015258789
2006-03-01,58.78438186645508,21.046619415283203,46.32146072387695,11.539999961853027
2006-03-02,58.6373291015625,21.426977157592773,46.28905487060547,11.720000267028809
2006-03-03,58.51972961425781,21.626216888427734,46.213470458984375,11.960000038146973
2006-03-06,58.1962890625,21.282079696655273,45.875152587890625,12.739999771118164
2006-03-07,58.34328842163086,20.910776138305664,45.687992095947266,12.65999984741211
2006-03-08,58.37269973754883,20.57569694519043,45.81756591796875,12.319999694824219
2006-03-09,58.29621505737305,20.783987045288086,45.57284164428711,12.680000305175781
2006-03-10,58.31974792480469,20.69342803955078,45.92913055419922,11.850000381469727
2006-03-13,58.425621032714844,20.965110778808594,46.04071807861328,11.369999885559082
2006-03-14,58.619754791259766,21.27302360534668,46.51580810546875,10.739999771118164
2006-03-15,58.46091079711914,21.037561416625977,46.72457504272461,11.350000381469727
2006-03-16,58.707923889160156,21.218687057495117,46.82533645629883,11.979999542236328
